resource_id|offer_id|name_bahasa|name_english|short_desc|long_desc|brand|category|weight_g|price_idr|currency|image_url|origin_country|mfr_name|mfr_address|common_name|net_qty_unit|net_qty_value|color|material|finish
res-biscuit-khong-guan-001|offer-biscuit-khong-guan-001|Biskuit Kaleng Khong Guan (Khong Guan Assorted Biscuits Tin)|Khong Guan Assorted Biscuits Tin|Aneka biskuit renyah dalam kaleng ikonik (Assorted crispy biscuits in iconic tin)|Koleksi biskuit klasik Khong Guan dengan berbagai rasa: vanila, cokelat, dan keju. Hadir dalam kaleng dekoratif yang bisa digunakan kembali. (Classic Khong Guan biscuit collection with vanilla, chocolate, and cheese varieties in a reusable decorative tin.)|Khong Guan|biscuit|1600|185000|IDR|https://images.unsplash.com/photo-1558961363-fa8fdf82db35?w=800&q=80|ID|Khong Guan Biscuit Factory Pte Ltd|Jakarta, DKI Jakarta, ID|Biskuit Assorted (Assorted Biscuits)|G|1600|Red|Tin|Glossy
res-biscuit-roma-kelapa-002|offer-biscuit-roma-kelapa-002|Biskuit Roma Kelapa (Roma Coconut Biscuits)|Roma Coconut Biscuits|Biskuit gurih rasa kelapa asli (Crunchy biscuits with authentic coconut flavor)|Biskuit Roma Kelapa dibuat dari parutan kelapa pilihan dengan tekstur renyah yang khas. Cocok untuk teman minum teh atau kopi pagi hari. (Roma Coconut Biscuits made from selected coconut flakes with a distinctive crunchy texture, perfect with morning tea or coffee.)|Roma|biscuit|200|18500|IDR|https://images.unsplash.com/photo-1506280754576-f6fa8a873550?w=800&q=80|ID|PT Mayora Indah Tbk|Tangerang, Banten, ID|Biskuit Kelapa (Coconut Biscuit)|G|200|Yellow|Paper|Matte
res-chips-chitato-sapi-003|offer-chips-chitato-sapi-003|Keripik Chitato Rasa Sapi Panggang (Chitato Beef BBQ Potato Chips)|Chitato Beef BBQ Potato Chips|Keripik kentang gurih rasa sapi panggang (Crunchy potato chips with BBQ beef flavor)|Chitato hadir dengan rasa Sapi Panggang yang kaya dan bumbu khas Indonesia. Dibuat dari kentang pilihan yang diproses dengan teknologi modern untuk tekstur renyah sempurna. (Chitato with rich BBQ Beef flavor and distinctive Indonesian seasoning, made from selected potatoes for perfect crunch.)|Chitato|chips|68|12000|IDR|https://images.unsplash.com/photo-1621939514649-280e2ee25f60?w=800&q=80|ID|PT Indofood CBP Sukses Makmur Tbk|Jakarta, DKI Jakarta, ID|Keripik Kentang (Potato Chips)|G|68|Red|Plastic|Glossy
res-chips-qtela-singkong-004|offer-chips-qtela-singkong-004|Keripik Qtela Singkong Pedas (Qtela Spicy Cassava Chips)|Qtela Spicy Cassava Chips|Keripik singkong renyah dengan rasa pedas menggigit (Crunchy cassava chips with a fiery kick)|Qtela Singkong Pedas dibuat dari singkong segar pilihan yang digoreng sempurna dengan bumbu pedas khas Indonesia. Teksturnya lebih tebal dan renyah dibanding keripik biasa. (Qtela Spicy Cassava Chips made from fresh selected cassava, perfectly fried with distinctive Indonesian spicy seasoning. Thicker and crunchier than regular chips.)|Qtela|chips|110|15000|IDR|https://images.unsplash.com/photo-1566478989037-eec170784d0b?w=800&q=80|ID|PT Garudafood Putra Putri Jaya Tbk|Pati, Jawa Tengah, ID|Keripik Singkong (Cassava Chips)|G|110|Orange|Plastic|Glossy
res-cake-lapis-legit-005|offer-cake-lapis-legit-005|Kue Lapis Legit Premium (Premium Spekkoek Layered Cake)|Premium Spekkoek Layered Cake|Kue lapis klasik Belanda-Indonesia dengan lapisan sempurna (Classic Dutch-Indonesian layered cake with perfect layers)|Lapis Legit adalah kue tradisional warisan Belanda-Indonesia yang dibuat dengan lebih dari 18 lapisan tipis. Setiap lapisan dipanggang satu per satu menggunakan rempah pilihan seperti kayu manis, cengkeh, dan kapulaga. (Lapis Legit is a traditional Dutch-Indonesian heritage cake with over 18 thin layers, each baked individually using selected spices like cinnamon, cloves, and cardamom.)|Dapur Lapis|cake|700|185000|IDR|https://images.unsplash.com/photo-1578985545062-69928b1d9587?w=800&q=80|ID|CV Dapur Lapis Nusantara|Bandung, Jawa Barat, ID|Kue Lapis Legit (Spekkoek Cake)|G|700|Brown|Paper Box|Matte
res-cake-bolu-pandan-006|offer-cake-bolu-pandan-006|Bolu Gulung Pandan (Pandan Swiss Roll Cake)|Pandan Swiss Roll Cake|Bolu lembut gulung dengan krim pandan harum (Soft sponge roll with fragrant pandan cream)|Bolu Gulung Pandan kami dibuat dari tepung pilihan dengan pewarna alami daun pandan segar. Diisi dengan krim butter pandan yang lembut dan tidak terlalu manis. (Our Pandan Swiss Roll Cake is made from select flour with natural coloring from fresh pandan leaves, filled with soft pandan butter cream that isn't overly sweet.)|Bolu Nusantara|cake|350|65000|IDR|https://images.unsplash.com/photo-1586985289688-ca3cf47d3e6e?w=800&q=80|ID|UD Bolu Nusantara|Surabaya, Jawa Timur, ID|Bolu Gulung (Swiss Roll Cake)|G|350|Green|Cardboard|Matte
res-biscuit-monde-butter-007|offer-biscuit-monde-butter-007|Biskuit Monde Butter Cookies (Monde Butter Cookies)|Monde Butter Cookies|Kue kering butter premium dalam kaleng cantik (Premium butter cookies in a beautiful tin)|Monde Butter Cookies hadir dalam kaleng premium dengan pilihan cookies berbentuk bunga, pretzel, dan cinnamon. Dibuat dari butter pilihan berkualitas tinggi dengan tekstur yang lumer di mulut. (Monde Butter Cookies in premium tin with flower-shaped, pretzel, and cinnamon cookie varieties. Made from high-quality selected butter with a melt-in-your-mouth texture.)|Monde|biscuit|454|120000|IDR|https://images.unsplash.com/photo-1548365328-8c6db3220e4c?w=800&q=80|ID|PT Monde Mahkota Biskuit|Jakarta, DKI Jakarta, ID|Kue Kering Butter (Butter Cookies)|G|454|Blue|Tin|Glossy
res-chips-taro-original-008|offer-chips-taro-original-008|Snack Taro Rasa Original (Taro Original Flavor Snack)|Taro Original Flavor Snack|Snack tapioka renyah rasa original yang disukai semua usia (Crunchy tapioca snack in original flavor loved by all ages)|Taro Original adalah snack berbahan dasar tapioka dengan tekstur berlubang yang sangat renyah. Dibumbui dengan rasa original yang gurih dan ringan, cocok untuk camilan kapan saja. (Taro Original is a tapioca-based snack with a hollow, extra-crunchy texture. Seasoned with savory and light original flavor, perfect for snacking anytime.)|Taro|chips|160|22000|IDR|https://images.unsplash.com/photo-1513558161293-cdaf765ed2fd?w=800&q=80|ID|PT Garudafood Putra Putri Jaya Tbk|Pati, Jawa Tengah, ID|Snack Tapioka (Tapioca Snack)|G|160|Purple|Plastic|Glossy
res-cake-brownies-amanda-009|offer-cake-brownies-amanda-009|Brownies Kukus Amanda Cokelat (Amanda Steamed Chocolate Brownies)|Amanda Steamed Chocolate Brownies|Brownies kukus lembut khas Bandung dengan cokelat premium (Soft steamed Bandung-style brownies with premium chocolate)|Brownies Kukus Amanda adalah ikon kuliner Bandung yang terkenal. Dibuat dengan cokelat premium, teksturnya sangat lembut dan basah. Tersedia dalam varian original, keju, dan tiramisu. (Amanda Steamed Brownies are a famous Bandung culinary icon. Made with premium chocolate, extremely soft and moist texture. Available in original, cheese, and tiramisu variants.)|Amanda|cake|800|95000|IDR|https://images.unsplash.com/photo-1606313564200-e75d5e30476c?w=800&q=80|ID|CV Amanda Brownies|Bandung, Jawa Barat, ID|Brownies Kukus (Steamed Brownies)|G|800|Brown|Cardboard|Matte
res-biscuit-biskuat-energy-010|offer-biscuit-biskuat-energy-010|Biskuit Biskuat Energy Cokelat (Biskuat Energy Chocolate Biscuits)|Biskuat Energy Chocolate Biscuits|Biskuit energi cokelat bergizi tinggi untuk aktivitas sehari-hari (High-nutrition chocolate energy biscuits for daily activities)|Biskuat Energy Cokelat mengandung susu dan 7 vitamin serta mineral esensial. Dirancang untuk memberikan energi optimal untuk anak-anak dan remaja yang aktif. (Biskuat Energy Chocolate contains milk and 7 essential vitamins and minerals. Designed to provide optimal energy for active children and teenagers.)|Biskuat|biscuit|120|12500|IDR|https://images.unsplash.com/photo-1499195333224-3ce974eecb47?w=800&q=80|ID|PT Kraft Foods Indonesia|Jakarta, DKI Jakarta, ID|Biskuit Energi (Energy Biscuit)|G|120|Brown|Plastic|Glossy
